date,open,close,high,low,change
1993-03-01,58.95,60.7,62.0,58.95,3.55
1993-03-02,60.85,59.6,60.85,59.5,1.7
1993-03-03,59.5,57.8,59.8,57.8,1.63
1993-03-04,57.8,58.2,59.0,56.85,2.72
1993-03-05,58.25,56.0,58.5,56.0,2.11
1993-03-08,56.0,57.5,58.0,56.0,2.05
1993-03-09,57.5,57.25,58.0,56.8,1.27
1993-03-10,57.1,58.55,58.6,57.1,1.51
1993-03-11,58.7,58.65,59.0,58.5,1.41
1993-03-12,58.8,59.0,59.0,58.7,1.26
1993-03-15,59.0,57.7,59.0,56.8,1.78
1993-03-16,57.7,58.1,58.5,57.7,1.29
1993-03-17,58.0,57.5,58.2,57.4,1.14
1993-03-18,57.5,57.7,58.0,57.05,0.94
1993-03-19,57.85,57.9,58.0,57.4,1.02
1993-03-22,58.0,56.8,58.0,56.6,1.09
1993-03-23,56.8,56.4,57.1,56.0,1.28
1993-03-24,56.4,55.3,56.6,55.1,1.12
1993-03-25,55.3,57.05,57.2,54.8,1.26
1993-03-26,57.2,57.1,57.9,57.1,1.14
1993-03-29,57.2,56.9,57.2,56.5,0.64
1993-03-30,56.9,56.95,57.0,56.45,0.5
1993-03-31,57.0,57.4,57.5,56.95,0.62
1993-04-01,57.5,57.4,57.55,57.2,0.56
1993-04-02,57.5,57.4,57.8,57.25,0.68
1993-04-05,57.4,57.05,57.45,57.0,0.55
1993-04-06,57.0,57.15,57.35,56.6,0.58
1993-04-07,57.0,57.75,57.8,57.0,0.62
1993-04-08,57.9,58.45,58.5,57.9,0.98
1993-04-09,58.5,58.25,58.7,58.1,0.95
1993-04-12,58.4,60.55,60.9,58.4,2.09
1993-04-13,60.7,61.0,61.15,60.55,2.19
1993-04-14,61.0,60.85,61.0,60.7,1.61
1993-04-15,61.0,60.7,61.0,60.3,1.45
1993-04-16,60.8,60.9,61.0,60.5,1.19
1993-04-19,61.0,60.2,61.0,60.15,1.27
1993-04-20,60.2,59.95,60.2,59.7,0.74
1993-04-21,60.0,59.95,60.0,59.65,0.49
1993-04-22,60.0,59.7,60.1,59.7,0.56
1993-04-23,59.7,59.2,59.7,58.8,0.73
1993-04-26,59.2,59.2,59.2,58.5,0.53
1993-04-27,59.2,59.0,59.35,59.0,0.33
1993-04-28,59.0,59.0,59.0,58.75,0.45
1993-04-29,59.0,58.6,59.0,58.6,0.39
1993-04-30,58.6,58.8,58.85,58.45,0.55
1993-05-01,58.8,58.05,58.8,58.0,0.37
1993-05-02,58.0,58.0,58.15,57.75,0.46
1993-05-03,58.8,58.05,58.8,58.0,0.37
1993-05-04,58.0,56.7,58.1,56.6,0.63
1993-05-05,55.3,55.3,56.75,52.8,1.73
1993-05-06,56.7,55.3,56.75,52.8,1.73
1993-05-07,55.3,55.0,55.6,53.8,1.37
1993-05-10,55.0,55.55,57.0,55.0,1.43
1993-05-11,55.4,54.55,55.5,54.0,1.2
1993-05-12,54.5,55.65,55.85,54.5,0.79
1993-05-13,55.8,56.85,57.2,55.8,0.84
1993-05-14,56.8,57.0,57.6,56.6,0.72
1993-05-17,57.0,55.9,57.2,55.9,0.64
1993-05-18,56.0,56.2,56.5,55.1,0.54
1993-05-19,56.2,56.2,56.3,55.8,0.5
1993-05-20,56.2,55.7,56.25,55.7,0.87
1993-05-21,55.7,54.4,55.75,54.1,1.22
1993-05-24,28.6,27.0,28.65,26.8,1.0
1993-05-25,27.0,27.5,27.6,26.6,1.26
1993-05-26,27.65,28.0,28.6,27.6,1.92
1993-05-27,28.0,28.0,28.1,27.6,1.34
1993-05-28,28.0,28.3,28.4,27.8,1.22
1993-05-31,28.45,29.1,29.1,28.4,1.14
1993-06-01,29.1,28.85,29.5,28.6,1.36
1993-06-02,28.8,29.0,29.1,28.6,0.83
1993-06-03,29.0,29.1,29.2,28.9,1.09
1993-06-04,29.0,29.1,29.2,28.9,1.09
1993-06-07,29.0,28.8,29.05,28.6,0.51
1993-06-08,28.8,28.7,28.85,28.6,0.4
1993-06-09,28.75,28.3,28.8,28.15,0.41
1993-06-10,28.3,28.25,28.3,28.0,0.31
1993-06-11,28.2,27.75,28.2,27.65,0.54
1993-06-14,27.75,27.05,27.75,26.9,0.77
1993-06-15,27.0,27.35,27.45,26.8,0.57
1993-06-16,27.3,27.25,27.35,27.1,0.32
1993-06-17,27.2,27.15,27.2,26.9,0.35
1993-06-18,27.1,27.75,27.8,27.05,0.59
1993-06-21,27.9,27.3,28.2,27.25,0.64
1993-06-22,27.3,27.3,27.4,27.0,0.4
1993-06-23,27.3,27.25,27.4,27.15,0.45
1993-06-24,27.3,27.35,27.4,27.15,0.59
1993-06-25,27.4,27.05,27.5,26.9,0.6
1993-06-28,27.0,26.95,27.05,26.5,0.37
1993-06-29,27.0,27.05,27.1,26.9,0.25
1993-06-30,27.1,26.8,27.15,26.8,0.34
1993-07-01,26.8,26.3,26.8,26.2,0.58
1993-07-02,26.3,26.2,26.3,25.25,0.96
1993-07-05,26.2,26.0,27.4,25.55,0.68
1993-07-06,26.0,25.3,26.0,25.3,0.37
1993-07-07,25.3,25.15,25.45,24.9,0.44
1993-07-08,25.1,25.1,25.2,24.9,0.31
1993-07-09,25.1,24.8,25.1,24.75,0.37
1993-07-12,24.8,23.35,24.8,22.9,0.64
1993-07-13,23.35,23.0,23.4,22.9,0.35
1993-07-14,23.0,23.2,23.4,22.95,0.27
1993-07-15,23.2,22.8,23.25,22.75,0.29
1993-07-16,22.8,22.0,22.85,22.0,0.55
1993-07-19,22.0,20.85,22.1,20.55,0.63
1993-07-20,20.7,20.35,20.7,19.45,0.89
1993-07-21,20.5,20.3,20.65,19.7,0.67
1993-07-22,20.3,20.6,20.6,19.95,0.46
1993-07-23,20.6,21.85,22.1,20.6,0.73
